Title,ISSN,Type,EncodedTitle
Academic Pediatrics,18762859,Freedom,Academic%20Pediatrics
Accident Analysis & Prevention,00014575,Freedom,Accident%20Analysis%20%26%20Prevention
Acta Biomaterialia,17427061,Freedom,Acta%20Biomaterialia
Acta Ecologica Sinica,18722032,Freedom,Acta%20Ecologica%20Sinica
Acta Histochemica,00651281,Freedom,Acta%20Histochemica
Acta Otorrinolaringologica (English Edition),21735735,Freedom,Acta%20Otorrinolaringologica%20%28English%20Edition%29
Acta Tropica,0001706X,Freedom,Acta%20Tropica
Actas Dermo-Sifiliográficas (English Edition),15782190,Freedom,Actas%20Dermo-Sifiliogr%C3%A1ficas%20%28English%20Edition%29
Actas Urológicas Españolas (English Edition),21735786,Freedom,Actas%20Urol%C3%B3gicas%20Espa%C3%B1olas%20%28English%20Edition%29
Actualités Pharmaceutiques,05153700,Freedom,Actualit%C3%A9s%20Pharmaceutiques
Additive Manufacturing,22148604,Freedom,Additive%20Manufacturing
Additives for Polymers,03063747,Freedom,Additives%20for%20Polymers
Advanced Drug Delivery Reviews,0169409X,Freedom,Advanced%20Drug%20Delivery%20Reviews
Advanced Powder Technology,09218831,Freedom,Advanced%20Powder%20Technology
Advances in Anesthesia,07376146,Freedom,Advances%20in%20Anesthesia
Advances in Biological Regulation,22124926,Freedom,Advances%20in%20Biological%20Regulation
Advances in Colloid and Interface Science,00018686,Freedom,Advances%20in%20Colloid%20and%20Interface%20Science
Advances in Cosmetic Surgery,25424327,Freedom,Advances%20in%20Cosmetic%20Surgery
Advances in Engineering Software,09659978,Freedom,Advances%20in%20Engineering%20Software
Advances in Integrative Medicine,22129588,Freedom,Advances%20in%20Integrative%20Medicine
Advances in Life Course Research,10402608,Freedom,Advances%20in%20Life%20Course%20Research
Advances in Medical Sciences,18961126,Freedom,Advances%20in%20Medical%20Sciences
Advances in Molecular Pathology,25894080,Freedom,Advances%20in%20Molecular%20Pathology
Advances in Ophthalmology and Optometry,24521760,Freedom,Advances%20in%20Ophthalmology%20and%20Optometry
Advances in Pediatrics,00653101,Freedom,Advances%20in%20Pediatrics
Advances in Small Animal Medicine and Surgery,10417826,Freedom,Advances%20in%20Small%20Animal%20Medicine%20and%20Surgery
Advances in Space Research,02731177,Freedom,Advances%20in%20Space%20Research
Advances in Surgery,00653411,Freedom,Advances%20in%20Surgery
Aeolian Research,18759637,Freedom,Aeolian%20Research
Aerospace Science and Technology,12709638,Freedom,Aerospace%20Science%20and%20Technology
AEU - International Journal of Electronics and Communications,14348411,Freedom,AEU%20-%20International%20Journal%20of%20Electronics%20and%20Communications
Aggression and Violent Behavior,13591789,Freedom,Aggression%20and%20Violent%20Behavior
Agri Gene,23522151,Freedom,Agri%20Gene
Agricultural Systems,0308521X,Freedom,Agricultural%20Systems
Agricultural Water Management,03783774,Freedom,Agricultural%20Water%20Management
"Agriculture, Ecosystems & Environment",01678809,Freedom,Agriculture%2C%20Ecosystems%20%26%20Environment
Alcohol,07418329,Freedom,Alcohol
Algal Research,22119264,Freedom,Algal%20Research
Alter,18750672,Freedom,Alter
Alzheimer's & Dementia,15525260,Freedom,Alzheimer%27s%20%26%20Dementia
American Journal of Orthodontics and Dentofacial Orthopedics,08895406,Freedom,American%20Journal%20of%20Orthodontics%20and%20Dentofacial%20Orthopedics
Anaerobe,10759964,Freedom,Anaerobe
Anaesthesia Critical Care & Pain Medicine,23525568,Freedom,Anaesthesia%20Critical%20Care%20%26%20Pain%20Medicine
Anaesthesia & Intensive Care Medicine,14720299,Freedom,Anaesthesia%20%26%20Intensive%20Care%20Medicine
Analytic Methods in Accident Research,22136657,Freedom,Analytic%20Methods%20in%20Accident%20Research
Animal Feed Science and Technology,03778401,Freedom,Animal%20Feed%20Science%20and%20Technology
Animal Reproduction Science,03784320,Freedom,Animal%20Reproduction%20Science
Annales de Cardiologie et d'Angéiologie,00033928,Freedom,Annales%20de%20Cardiologie%20et%20d%27Ang%C3%A9iologie
Annales de Chirurgie Plastique Esthétique,02941260,Freedom,Annales%20de%20Chirurgie%20Plastique%20Esth%C3%A9tique
Annales d'Endocrinologie,00034266,Freedom,Annales%20d%27Endocrinologie
"Annales Médico-psychologiques, revue psychiatrique",00034487,Freedom,Annales%20M%C3%A9dico-psychologiques%2C%20revue%20psychiatrique
Annales de Paléontologie,07533969,Freedom,Annales%20de%20Pal%C3%A9ontologie
Annals of Anatomy - Anatomischer Anzeiger,09409602,Freedom,Annals%20of%20Anatomy%20-%20Anatomischer%20Anzeiger
Annals of Diagnostic Pathology,10929134,Freedom,Annals%20of%20Diagnostic%20Pathology
Annals of Nuclear Energy,03064549,Freedom,Annals%20of%20Nuclear%20Energy
Annals of Physical and Rehabilitation Medicine,18770657,Freedom,Annals%20of%20Physical%20and%20Rehabilitation%20Medicine
Annual Reviews in Control,13675788,Freedom,Annual%20Reviews%20in%20Control
Anthropocene,22133054,Freedom,Anthropocene
Antiviral Research,01663542,Freedom,Antiviral%20Research
Applied Acoustics,0003682X,Freedom,Applied%20Acoustics
Applied Animal Behaviour Science,01681591,Freedom,Applied%20Animal%20Behaviour%20Science
Applied Catalysis A: General,0926860X,Freedom,Applied%20Catalysis%20A%3A%20General
Applied Catalysis B: Environmental,09263373,Freedom,Applied%20Catalysis%20B%3A%20Environmental
Applied Clay Science,01691317,Freedom,Applied%20Clay%20Science
Applied and Computational Harmonic Analysis,10635203,Freedom,Applied%20and%20Computational%20Harmonic%20Analysis
Applied Energy,03062619,Freedom,Applied%20Energy
Applied Ergonomics,00036870,Freedom,Applied%20Ergonomics
Applied Geography,01436228,Freedom,Applied%20Geography
Applied Materials Today,23529407,Freedom,Applied%20Materials%20Today
Applied Mathematical Modelling,0307904X,Freedom,Applied%20Mathematical%20Modelling
Applied Mathematics and Computation,00963003,Freedom,Applied%20Mathematics%20and%20Computation
Applied Ocean Research,01411187,Freedom,Applied%20Ocean%20Research
Applied Radiation and Isotopes,09698043,Freedom,Applied%20Radiation%20and%20Isotopes
Applied Soft Computing,15684946,Freedom,Applied%20Soft%20Computing
Applied Soil Ecology,09291393,Freedom,Applied%20Soil%20Ecology
Applied Thermal Engineering,13594311,Freedom,Applied%20Thermal%20Engineering
Aquacultural Engineering,01448609,Freedom,Aquacultural%20Engineering
Aquaculture,00448486,Freedom,Aquaculture
Arab Journal of Gastroenterology,16871979,Freedom,Arab%20Journal%20of%20Gastroenterology
Archaeological Research in Asia,23522267,Freedom,Archaeological%20Research%20in%20Asia
Archives of Cardiovascular Diseases,18752136,Freedom,Archives%20of%20Cardiovascular%20Diseases
Archives of Cardiovascular Diseases Supplements,18786480,Freedom,Archives%20of%20Cardiovascular%20Diseases%20Supplements
Archives of Civil and Mechanical Engineering,16449665,Freedom,Archives%20of%20Civil%20and%20Mechanical%20Engineering
Archives of Gerontology and Geriatrics,01674943,Freedom,Archives%20of%20Gerontology%20and%20Geriatrics
Archives of Medical Research,01884409,Freedom,Archives%20of%20Medical%20Research
Archives of Oral Biology,00039969,Freedom,Archives%20of%20Oral%20Biology
Archives de Pédiatrie,0929693X,Freedom,Archives%20de%20P%C3%A9diatrie
Archivos de Bronconeumología (English Edition),15792129,Freedom,Archivos%20de%20Bronconeumolog%C3%ADa%20%28English%20Edition%29
Archivos de la Sociedad Española de Oftalmología (English Edition),21735794,Freedom,Archivos%20de%20la%20Sociedad%20Espa%C3%B1ola%20de%20Oftalmolog%C3%ADa%20%28English%20Edition%29
Arthropod Structure & Development,14678039,Freedom,Arthropod%20Structure%20%26%20Development
Artificial Intelligence in Medicine,09333657,Freedom,Artificial%20Intelligence%20in%20Medicine
The Arts in Psychotherapy,01974556,Freedom,The%20Arts%20in%20Psychotherapy
Asian Journal of Psychiatry,18762018,Freedom,Asian%20Journal%20of%20Psychiatry
Assessing Writing,10752935,Freedom,Assessing%20Writing
Astronomy and Computing,22131337,Freedom,Astronomy%20and%20Computing
Atmospheric Pollution Research,13091042,Freedom,Atmospheric%20Pollution%20Research
Atmospheric Research,01698095,Freedom,Atmospheric%20Research
Auris Nasus Larynx,03858146,Freedom,Auris%20Nasus%20Larynx
Australasian Emergency Care,2588994X,Freedom,Australasian%20Emergency%20Care
Australasian Marketing Journal (AMJ),14413582,Freedom,Australasian%20Marketing%20Journal%20%28AMJ%29
Australian Critical Care,10367314,Freedom,Australian%20Critical%20Care
Autoimmunity Reviews,15689972,Freedom,Autoimmunity%20Reviews
Automation in Construction,09265805,Freedom,Automation%20in%20Construction
Autonomic Neuroscience,15660702,Freedom,Autonomic%20Neuroscience
Basic and Applied Ecology,14391791,Freedom,Basic%20and%20Applied%20Ecology
Behaviour Research and Therapy,00057967,Freedom,Behaviour%20Research%20and%20Therapy
Behavioural Brain Research,01664328,Freedom,Behavioural%20Brain%20Research
Best Practice & Research Clinical Anaesthesiology,15216896,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Anaesthesiology
Best Practice & Research Clinical Endocrinology & Metabolism,1521690X,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Endocrinology%20%26%20Metabolism
