Title,ISSN,Type,EncodedTitle
Accident Analysis & Prevention,00014575,Freedom,Accident%20Analysis%20and%20Prevention
"Agriculture, Ecosystems & Environment",01678809,Freedom,Agriculture%2C%20Ecosystems%20and%20Environment
Alzheimer's & Dementia,15525260,Freedom,Alzheimer%27s%20and%20Dementia
Anaesthesia Critical Care & Pain Medicine,23525568,Freedom,Anaesthesia%20Critical%20Care%20and%20Pain%20Medicine
Anaesthesia & Intensive Care Medicine,14720299,Freedom,Anaesthesia%20and%20Intensive%20Care%20Medicine
Arthropod Structure & Development,14678039,Freedom,Arthropod%20Structure%20and%20Development
Best Practice & Research Clinical Anaesthesiology,15216896,Freedom,Best%20Practice%20and%20Research%20Clinical%20Anaesthesiology
Best Practice & Research Clinical Endocrinology & Metabolism,1521690X,Freedom,Best%20Practice%20and%20Research%20Clinical%20Endocrinology%20and%20Metabolism
Best Practice & Research Clinical Gastroenterology,15216918,Freedom,Best%20Practice%20and%20Research%20Clinical%20Gastroenterology
Best Practice & Research Clinical Haematology,15216926,Freedom,Best%20Practice%20and%20Research%20Clinical%20Haematology
Best Practice & Research Clinical Obstetrics & Gynaecology,15216934,Freedom,Best%20Practice%20and%20Research%20Clinical%20Obstetrics%20and%20Gynaecology
Best Practice & Research Clinical Rheumatology,15216942,Freedom,Best%20Practice%20and%20Research%20Clinical%20Rheumatology
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,15320456,Freedom,Comparative%20Biochemistry%20and%20Physiology%20Part%20C%3A%20Toxicology%20and%20Pharmacology
Computer Fraud & Security,13613723,Freedom,Computer%20Fraud%20and%20Security
Computer Law & Security Review,02673649,Freedom,Computer%20Law%20and%20Security%20Review
Computers & Chemical Engineering,00981354,Freedom,Computers%20and%20Chemical%20Engineering
Computers & Education,03601315,Freedom,Computers%20and%20Education
Computers & Electrical Engineering,00457906,Freedom,Computers%20and%20Electrical%20Engineering
Computers & Industrial Engineering,03608352,Freedom,Computers%20and%20Industrial%20Engineering
Computers & Operations Research,03050548,Freedom,Computers%20and%20Operations%20Research
Current Opinion in Colloid & Interface Science,13590294,Freedom,Current%20Opinion%20in%20Colloid%20and%20Interface%20Science
Current Opinion in Environmental Science & Health,24685844,Freedom,Current%20Opinion%20in%20Environmental%20Science%20and%20Health
Cytokine & Growth Factor Reviews,13596101,Freedom,Cytokine%20and%20Growth%20Factor%20Reviews
Developmental & Comparative Immunology,0145305X,Freedom,Developmental%20and%20Comparative%20Immunology
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,18714021,Freedom,Diabetes%20and%20Metabolic%20Syndrome%3A%20Clinical%20Research%20and%20Reviews
Diabetes & Metabolism,12623636,Freedom,Diabetes%20and%20Metabolism
"Discourse, Context & Media",22116958,Freedom,Discourse%2C%20Context%20and%20Media
Ecohydrology & Hydrobiology,16423593,Freedom,Ecohydrology%20and%20Hydrobiology
Economics & Human Biology,1570677X,Freedom,Economics%20and%20Human%20Biology
Energy Research & Social Science,22146296,Freedom,Energy%20Research%20and%20Social%20Science
"Environmental Nanotechnology, Monitoring & Management",22151532,Freedom,Environmental%20Nanotechnology%2C%20Monitoring%20and%20Management
Environmental Science & Policy,14629011,Freedom,Environmental%20Science%20and%20Policy
Environmental Technology & Innovation,23521864,Freedom,Environmental%20Technology%20and%20Innovation
Epilepsy & Behavior,15255050,Freedom,Epilepsy%20and%20Behavior
European Journal of Obstetrics & Gynecology and Reproductive Biology,03012115,Freedom,European%20Journal%20of%20Obstetrics%20and%20Gynecology%20and%20Reproductive%20Biology
European Journal of Trauma & Dissociation,24687499,Freedom,European%20Journal%20of%20Trauma%20and%20Dissociation
Fish & Shellfish Immunology,10504648,Freedom,Fish%20and%20Shellfish%20Immunology
