year,P.ISSN,E.ISSN,journal_name,open_access
2012,NULL,19326203,PLoS ONE,1
2012,03787354,16622774,Advances in Biological Psychiatry,0
2012,15571459,15571467,Bariatric Nursing and Surgical Patient Care,0
2012,00396060,15327361,Surgery (United States),0
2012,NULL,NULL,Nephrology Secrets,0
2012,14644096,1464410X,BJU International,0
2012,13570560,1559131X,Medical Oncology,0
2012,16624025,16624033,Obesity Facts,1
2012,0899823X,NULL,Infection Control and Hospital Epidemiology,0
2012,10600280,NULL,Annals of Pharmacotherapy,0
2012,00029610,18791883,American Journal of Surgery,0
2012,14644096,1464410X,BJU International,0
2012,03022838,18737560,European Urology,0
2012,10628606,1555824X,American Journal of Medical Quality,0
2012,10669817,20426186,Journal of Manual and Manipulative Therapy,0
2012,00247758,NULL,Journal of Reproductive Medicine,0
2012,09514198,10970231,Rapid Communications in Mass Spectrometry,0
2012,08876274,15389782,Clinical Nurse Specialist,0
2012,0310057X,14480271,Anaesthesia and Intensive Care,0
2012,09612033,14770962,Lupus,0
2012,03022838,18737560,European Urology,0
2012,00097322,15244539,Circulation,1
2012,0008543X,10970142,Cancer,1
2012,15597768,15597776,AACN Advanced Critical Care,0
2012,15597768,15597776,AACN Advanced Critical Care,0
2012,00421138,14230399,Urologia Internationalis,0
2012,14644096,1464410X,BJU International,1
2012,10584838,15376591,Clinical Infectious Diseases,1
2012,NULL,NULL,Avoiding Common Prehospital Errors,0
2012,NULL,NULL,Avoiding Common Prehospital Errors,0
2012,NULL,NULL,Sports Medicine of Baseball,0
2012,16878558,16878566,Journal of Cancer Epidemiology,1
2012,00097322,15244539,Circulation,1
2012,00987484,15383598,JAMA - Journal of the American Medical Association,0
2012,0361803X,15463141,American Journal of Roentgenology,0
2012,NULL,NULL,Critical Care Secrets: Fifth Edition,0
2012,10623264,NULL,American Journal of Critical Care,1
2012,20445415,NULL,BMJ Quality and Safety,0
2012,10781439,18732496,Urologic Oncology: Seminars and Original Investigations,0
2012,14137852,NULL,Acta Ortopedica Brasileira,1
2012,01145916,11791942,Drug Safety,0
2012,10792082,15352900,American Journal of Health-System Pharmacy,1
2012,10893261,15578224,Clinics in Liver Disease,0
2012,0899823X,NULL,Infection Control and Hospital Epidemiology,0
2012,02606917,15322793,Nurse Education Today,0
2012,03022838,18737560,European Urology,0
2012,17410541,1744828X,Personalized Medicine,1
2012,10715754,NULL,"Journal of Wound, Ostomy and Continence Nursing",0
2012,00903493,15300293,Critical Care Medicine,0
2012,02782391,15315053,Journal of Oral and Maxillofacial Surgery,0
2012,NULL,NULL,Modern Clinical Molecular Techniques,0
2012,09406719,14320932,European Spine Journal,0
2012,19314485,NULL,Advanced Emergency Nursing Journal,0
2012,07438346,14765543,Journal of Perinatology,1
2012,10628606,1555824X,American Journal of Medical Quality,0
2012,01638343,18737714,General Hospital Psychiatry,0
2012,09546820,13652796,Journal of Internal Medicine,0
2012,NULL,19326203,PLoS ONE,1
2012,21646821,23758627,Neurodiagnostic Journal,0
2012,0023852X,15314995,Laryngoscope,0
2012,00201324,19433654,Respiratory Care,1
2012,00201324,19433654,Respiratory Care,1
2012,10675027,1527974X,Journal of the American Medical Informatics Association,1
2012,07356757,15328171,American Journal of Emergency Medicine,0
2012,1535282X,15352811,Critical Pathways in Cardiology,0
2012,10530770,15328422,Journal of Cardiothoracic and Vascular Anesthesia,0
2012,10530770,15328422,Journal of Cardiothoracic and Vascular Anesthesia,0
2012,08848734,15251497,Journal of General Internal Medicine,0
2012,00032999,NULL,Anesthesia and Analgesia,0
2012,03022838,18737560,European Urology,0
2012,NULL,20411480,Journal of Biomedical Semantics,1
2012,10492089,15486869,Journal of Health Care for the Poor and Underserved,0
2012,00225347,15273792,Journal of Urology,0
2012,15485323,NULL,Oncology Report,0
2012,15485323,NULL,Oncology Report,0
