Title,ISSN,BUS,HUM,LAW,MED,NSEG,SSDG
Academic Pediatrics,18762859,NA,NA,NA,1,NA,NA
Academic Radiology,10766332,NA,NA,NA,1,NA,NA
Accident Analysis & Prevention,00014575,NA,NA,NA,1,NA,1
"Accounting, Organizations and Society",03613682,1,NA,NA,NA,1,1
Acta Astronautica,00945765,NA,NA,NA,NA,1,NA
Acta Biomaterialia,17427061,NA,NA,NA,NA,1,NA
Acta Colombiana de Cuidado Intensivo,01227262,NA,NA,NA,1,NA,NA
Acta Ecologica Sinica,18722032,NA,NA,NA,NA,1,NA
Acta Histochemica,00651281,NA,NA,NA,1,1,NA
Acta Materialia,13596454,NA,NA,NA,NA,1,NA
Acta Oecologica,1146609X,NA,NA,NA,NA,1,NA
Acta Orthopaedica et Traumatologica Turcica,1017995X,NA,NA,NA,1,NA,NA
Acta Otorrinolaringologica (English Edition),21735735,NA,NA,NA,1,NA,NA
Acta Otorrinolaringológica Española,00016519,NA,NA,NA,1,NA,NA
Acta Pharmaceutica Sinica B,22113835,NA,NA,NA,1,NA,NA
Acta Psychologica,00016918,NA,NA,NA,NA,1,NA
Acta Tropica,0001706X,NA,NA,NA,1,NA,NA
Actas Dermo-Sifiliográficas,00017310,NA,NA,NA,1,NA,NA
Actas Dermo-Sifiliográficas (English Edition),15782190,NA,NA,NA,1,NA,NA
Actas Urológicas Españolas,02104806,NA,NA,NA,1,NA,NA
Actas Urológicas Españolas (English Edition),21735786,NA,NA,NA,1,NA,NA
Actualités Pharmaceutiques,05153700,NA,NA,NA,1,NA,NA
Ad Hoc Networks,15708705,NA,NA,NA,NA,1,NA
Addictive Behaviors,03064603,NA,NA,NA,1,1,NA
Addictive Behaviors Reports,23528532,NA,NA,NA,1,1,NA
Additive Manufacturing,22148604,NA,NA,NA,NA,1,NA
Additives for Polymers,03063747,NA,NA,NA,NA,1,NA
Advanced Drug Delivery Reviews,0169409X,NA,NA,NA,1,1,NA
Advanced Engineering Informatics,14740346,NA,NA,NA,NA,1,NA
Advanced Industrial and Engineering Polymer Research,25425048,NA,NA,NA,NA,1,NA
Advanced Powder Technology,09218831,NA,NA,NA,NA,1,NA
Advances in Accounting,08826110,1,NA,NA,NA,NA,1
Advances in Anesthesia,07376146,NA,NA,NA,1,NA,NA
Advances in Applied Mathematics,01968858,NA,NA,NA,NA,1,NA
Advances in Biological Regulation,22124926,NA,NA,NA,NA,1,NA
Advances in Chronic Kidney Disease,15485595,NA,NA,NA,1,NA,NA
Advances in Climate Change Research,16749278,NA,NA,NA,NA,1,NA
Advances in Colloid and Interface Science,00018686,NA,NA,NA,NA,1,NA
Advances in Cosmetic Surgery,25424327,NA,NA,NA,1,NA,NA
Advances in Engineering Software,09659978,NA,NA,NA,NA,1,NA
Advances in Family Practice Nursing,2589420X,NA,NA,NA,1,NA,NA
Advances in Integrative Medicine,22129588,NA,NA,NA,1,NA,NA
Advances in Life Course Research,10402608,NA,NA,NA,NA,1,1
Advances in Mathematics,00018708,NA,NA,NA,NA,1,NA
Advances in Medical Sciences,18961126,NA,NA,NA,1,1,NA
Advances in Molecular Pathology,25894080,NA,NA,NA,1,NA,NA
Advances in Ophthalmology and Optometry,24521760,NA,NA,NA,1,NA,NA
Advances in Pediatrics,00653101,NA,NA,NA,1,NA,NA
Advances in Radiation Oncology,24521094,NA,NA,NA,1,NA,NA
Advances in Small Animal Medicine and Surgery,10417826,NA,NA,NA,1,1,NA
Advances in Space Research,02731177,NA,NA,NA,NA,1,NA
Advances in Surgery,00653411,NA,NA,NA,1,NA,NA
Advances in Water Resources,03091708,NA,NA,NA,NA,1,NA
Aeolian Research,18759637,NA,NA,NA,NA,1,NA
Aerospace Science and Technology,12709638,NA,NA,NA,NA,1,NA
AEU - International Journal of Electronics and Communications,14348411,NA,NA,NA,NA,1,NA
African Journal of Emergency Medicine,2211419X,NA,NA,NA,1,NA,NA
Ageing Research Reviews,15681637,NA,NA,NA,NA,1,NA
Aggression and Violent Behavior,13591789,NA,NA,1,1,1,NA
Agri Gene,23522151,NA,NA,NA,NA,1,NA
Agricultural and Forest Meteorology,01681923,NA,NA,NA,NA,1,NA
Agricultural Systems,0308521X,NA,NA,NA,NA,1,NA
Agricultural Water Management,03783774,NA,NA,NA,NA,1,NA
"Agriculture, Ecosystems & Environment",01678809,NA,NA,NA,1,1,NA
Ain Shams Engineering Journal,20904479,NA,NA,NA,NA,1,NA
Air Medical Journal,1067991X,NA,NA,NA,1,NA,NA
AKCE International Journal of Graphs and Combinatorics,09728600,NA,NA,NA,NA,1,NA
Alcohol,07418329,NA,NA,NA,1,1,1
Alexandria Engineering Journal,11100168,NA,NA,NA,NA,1,NA
Algal Research,22119264,NA,NA,NA,NA,1,NA
Allergologia et Immunopathologia,03010546,NA,NA,NA,1,NA,NA
Allergology International,13238930,NA,NA,NA,1,NA,NA
Alter,18750672,NA,NA,NA,NA,NA,1
Alzheimer's & Dementia,15525260,NA,NA,NA,1,NA,NA
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",23528729,NA,NA,NA,1,NA,NA
Alzheimer's & Dementia: Translational Research & Clinical Interventions,23528737,NA,NA,NA,1,NA,NA
American Heart Journal,00028703,NA,NA,NA,1,NA,NA
American Journal of Infection Control,01966553,NA,NA,NA,1,1,NA
American Journal of Kidney Diseases,02726386,NA,NA,NA,1,NA,NA
American Journal of Obstetrics & Gynecology MFM,25899333,NA,NA,NA,1,NA,NA
American Journal of Obstetrics and Gynecology,00029378,NA,NA,NA,1,NA,NA
American Journal of Ophthalmology,00029394,NA,NA,NA,1,NA,NA
American Journal of Ophthalmology Case Reports,24519936,NA,NA,NA,1,NA,NA
American Journal of Orthodontics and Dentofacial Orthopedics,08895406,NA,NA,NA,1,NA,NA
American Journal of Otolaryngology,01960709,NA,NA,NA,1,NA,NA
American Journal of Preventive Medicine,07493797,NA,NA,NA,1,NA,NA
Ampersand,22150390,NA,1,NA,NA,NA,1
Anaerobe,10759964,NA,NA,NA,1,1,NA
Anaesthesia & Intensive Care Medicine,14720299,NA,NA,NA,1,NA,NA
Anaesthesia Critical Care & Pain Medicine,23525568,NA,NA,NA,1,NA,NA
Anales de Cirugía Vascular,11302542,NA,NA,NA,1,NA,NA
Anales de Pediatría,16954033,NA,NA,NA,1,NA,NA
Anales de Pediatría (English Edition),23412879,NA,NA,NA,1,NA,NA
Anales de Pediatria Continuada,16962818,NA,NA,NA,1,NA,NA
Analytic Methods in Accident Research,22136657,1,NA,NA,NA,1,1
Analytica Chimica Acta,00032670,NA,NA,NA,NA,1,NA
Analytica Chimica Acta: X,25901346,NA,NA,NA,NA,1,NA
Analytical Biochemistry,00032697,NA,NA,NA,NA,1,NA
Anesthésie & Réanimation,23525800,NA,NA,NA,1,NA,NA
Anesthesiology Clinics,19322275,NA,NA,NA,1,NA,NA
Animal Behaviour,00033472,NA,NA,NA,1,1,NA
Animal Feed Science and Technology,03778401,NA,NA,NA,1,1,NA
Animal Nutrition,24056545,NA,NA,NA,NA,1,NA
Animal Reproduction Science,03784320,NA,NA,NA,1,1,NA
Annales d'Endocrinologie,00034266,NA,NA,NA,1,NA,NA
Annales de Cardiologie et d'Angéiologie,00033928,NA,NA,NA,1,NA,NA
Annales de Chirurgie Plastique Esthétique,02941260,NA,NA,NA,1,NA,NA
Annales de Dermatologie et de Vénéréologie,01519638,NA,NA,NA,1,NA,NA
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",02941449,NA,NA,NA,NA,1,NA
Annales de Paléontologie,07533969,NA,NA,NA,NA,1,NA
Annales de Pathologie,02426498,NA,NA,NA,1,NA,NA
Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale,18797261,NA,NA,NA,1,NA,NA
"Annales Médico-psychologiques, revue psychiatrique",00034487,NA,NA,NA,1,1,NA
Annales Pharmaceutiques Françaises,00034509,NA,NA,NA,1,NA,NA
Annals of Agricultural Sciences,05701783,NA,NA,NA,NA,1,NA
"Annals of Allergy, Asthma & Immunology",10811206,NA,NA,NA,1,NA,NA
Annals of Anatomy - Anatomischer Anzeiger,09409602,NA,NA,NA,1,1,NA
Annals of Diagnostic Pathology,10929134,NA,NA,NA,1,NA,NA
Annals of Emergency Medicine,01960644,NA,NA,NA,1,NA,NA
Annals of Epidemiology,10472797,NA,NA,NA,1,NA,NA
Annals of Hepatology,16652681,NA,NA,NA,1,NA,NA
Annals of Medicine and Surgery,20490801,NA,NA,NA,1,NA,NA
Annals of Nuclear Energy,03064549,NA,NA,NA,NA,1,NA
Annals of Physical and Rehabilitation Medicine,18770657,NA,NA,NA,1,NA,NA
Annals of Physics,00034916,NA,NA,NA,NA,1,NA
Annals of Pure and Applied Logic,01680072,NA,NA,NA,NA,1,NA
Annals of Tourism Research,01607383,1,NA,NA,NA,NA,1
Annals of Vascular Surgery,08905096,NA,NA,NA,1,NA,NA
Annual Reviews in Control,13675788,NA,NA,NA,NA,1,NA
Ansiedad y Estrés,11347937,NA,NA,NA,NA,1,NA
Anthropocene,22133054,NA,NA,NA,NA,1,NA
Antiviral Research,01663542,NA,NA,NA,1,NA,NA
Appetite,01956663,NA,NA,NA,1,1,NA
Applied Acoustics,0003682X,NA,NA,NA,NA,1,NA
Applied and Computational Harmonic Analysis,10635203,NA,NA,NA,NA,1,NA
Applied Animal Behaviour Science,01681591,NA,NA,NA,NA,1,NA
Applied Animal Science,25902865,NA,NA,NA,1,1,NA
Applied Catalysis A: General,0926860X,NA,NA,NA,NA,1,NA
Applied Catalysis B: Environmental,09263373,NA,NA,NA,NA,1,NA
Applied Clay Science,01691317,NA,NA,NA,NA,1,NA
Applied Computing and Informatics,22108327,NA,NA,NA,NA,1,NA
Applied Energy,03062619,NA,NA,NA,NA,1,NA
Applied Ergonomics,00036870,NA,NA,NA,NA,1,1
Applied Geochemistry,08832927,NA,NA,NA,NA,1,NA
Applied Geography,01436228,NA,NA,NA,NA,1,1
Applied Materials Today,23529407,NA,NA,NA,NA,1,NA
Applied Mathematical Modelling,0307904X,NA,NA,NA,NA,1,NA
Applied Mathematics and Computation,00963003,NA,NA,NA,NA,1,NA
Applied Mathematics Letters,08939659,NA,NA,NA,NA,1,NA
Applied Numerical Mathematics,01689274,NA,NA,NA,NA,1,NA
Applied Nursing Research,08971897,NA,NA,NA,1,NA,NA
Applied Ocean Research,01411187,NA,NA,NA,NA,1,NA
