journal,ISSN,EncodedTitle
Acta Pharmaceutica Sinica B,22113835,Acta%20Pharmaceutica%20Sinica%20B
Actas Dermo-Sifiliográficas,00017310,Actas%20Dermo-Sifiliogr%C3%A1ficas
Actas Dermo-Sifiliográficas (English Edition),15782190,Actas%20Dermo-Sifiliogr%C3%A1ficas%20%28English%20Edition%29
Addictive Behaviors Reports,23528532,Addictive%20Behaviors%20Reports
Advances in Radiation Oncology,24521094,Advances%20in%20Radiation%20Oncology
African Journal of Emergency Medicine,2211419X,African%20Journal%20of%20Emergency%20Medicine
Ain Shams Engineering Journal,20904479,Ain%20Shams%20Engineering%20Journal
AJOG Global Reports,26665778,AJOG%20Global%20Reports
Alexandria Engineering Journal,11100168,Alexandria%20Engineering%20Journal
Allergology International,13238930,Allergology%20International
American Journal of Ophthalmology Case Reports,24519936,American%20Journal%20of%20Ophthalmology%20Case%20Reports
Ampersand,22150390,Ampersand
Anais Brasileiros de Dermatologia,03650596,Anais%20Brasileiros%20de%20Dermatologia
Anales de Pediatría (English Edition),23412879,Anales%20de%20Pediatr%C3%ADa%20%28English%20Edition%29
Analytica Chimica Acta: X,25901346,Analytica%20Chimica%20Acta%3A%20X
Annals of Agricultural Sciences,05701783,Annals%20of%20Agricultural%20Sciences
Annals of Hepatology,16652681,Annals%20of%20Hepatology
Annals of Medicine and Surgery,20490801,Annals%20of%20Medicine%20and%20Surgery
Applications in Energy and Combustion Science,2666352X,Applications%20in%20Energy%20and%20Combustion%20Science
Applications in Engineering Science,26664968,Applications%20in%20Engineering%20Science
Applied Computing and Geosciences,25901974,Applied%20Computing%20and%20Geosciences
Applied Surface Science Advances,26665239,Applied%20Surface%20Science%20Advances
Aquaculture Reports,23525134,Aquaculture%20Reports
Arabian Journal of Chemistry,18785352,Arabian%20Journal%20of%20Chemistry
Archives of Rehabilitation Research and Clinical Translation,25901095,Archives%20of%20Rehabilitation%20Research%20and%20Clinical%20Translation
Array,25900056,Array
Arthroplasty Today,23523441,Arthroplasty%20Today
"Arthroscopy, Sports Medicine, and Rehabilitation",2666061X,Arthroscopy%2C%20Sports%20Medicine%2C%20and%20Rehabilitation
Arthroscopy Techniques,22126287,Arthroscopy%20Techniques
Asian Journal of Pharmaceutical Sciences,18180876,Asian%20Journal%20of%20Pharmaceutical%20Sciences
Asian Journal of Surgery,10159584,Asian%20Journal%20of%20Surgery
Asian Journal of Urology,22143882,Asian%20Journal%20of%20Urology
Asian Nursing Research,19761317,Asian%20Nursing%20Research
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",22146873,Asia-Pacific%20Journal%20of%20Sports%20Medicine%2C%20Arthroscopy%2C%20Rehabilitation%20and%20Technology
Atención Primaria,02126567,Atenci%C3%B3n%20Primaria
Atención Primaria Práctica,26050730,Atenci%C3%B3n%20Primaria%20Pr%C3%A1ctica
Atherosclerosis: X,25901354,Atherosclerosis%3A%20X
Atmospheric Environment: X,25901621,Atmospheric%20Environment%3A%20X
Biochemistry and Biophysics Reports,24055808,Biochemistry%20and%20Biophysics%20Reports
Biofilm,25902075,Biofilm
Biomarkers in Neuropsychiatry,26661446,Biomarkers%20in%20Neuropsychiatry
Biomaterials and Biosystems,26665344,Biomaterials%20and%20Biosystems
Biomedical Journal,23194170,Biomedical%20Journal
Biomedicine & Pharmacotherapy,07533322,Biomedicine%20%26%20Pharmacotherapy
Biosafety and Health,25900536,Biosafety%20and%20Health
Biosensors and Bioelectronics: X,25901370,Biosensors%20and%20Bioelectronics%3A%20X
Biotechnology Reports,2215017X,Biotechnology%20Reports
Boletín de la Sociedad Española de Cerámica y Vidrio,03663175,Bolet%C3%ADn%20de%20la%20Sociedad%20Espa%C3%B1ola%20de%20Cer%C3%A1mica%20y%20Vidrio
Bone Reports,23521872,Bone%20Reports
Borsa İstanbul Review,22148450,Borsa%20%C4%B0stanbul%20Review
"Brain, Behavior, & Immunity - Health",26663546,Brain%2C%20Behavior%2C%20%26%20Immunity%20-%20Health
Brain Multiphysics,26665220,Brain%20Multiphysics
BrainScience,26665794,BrainScience
Brain Stimulation,1935861X,Brain%20Stimulation
Brazilian Journal of Anesthesiology,01040014,Brazilian%20Journal%20of%20Anesthesiology
Brazilian Journal of Otorhinolaryngology,18088694,Brazilian%20Journal%20of%20Otorhinolaryngology
Burns Open,24689122,Burns%20Open
Cancer Treatment and Research Communications,24682942,Cancer%20Treatment%20and%20Research%20Communications
CASE,24686441,CASE
Case Reports in Women's Health,22149112,Case%20Reports%20in%20Women%27s%20Health
Case Studies in Chemical and Environmental Engineering,26660164,Case%20Studies%20in%20Chemical%20and%20Environmental%20Engineering
Case Studies in Construction Materials,22145095,Case%20Studies%20in%20Construction%20Materials
Case Studies in Thermal Engineering,2214157X,Case%20Studies%20in%20Thermal%20Engineering
Cell Reports Medicine,26663791,Cell%20Reports%20Medicine
Cell Reports Physical Science,26663864,Cell%20Reports%20Physical%20Science
Cellular and Molecular Gastroenterology and Hepatology,2352345X,Cellular%20and%20Molecular%20Gastroenterology%20and%20Hepatology
Cement,26665492,Cement
Central Bank Review,13030701,Central%20Bank%20Review
Cerebral Circulation - Cognition and Behavior,26662450,Cerebral%20Circulation%20-%20Cognition%20and%20Behavior
"Chaos, Solitons & Fractals: X",25900544,Chaos%2C%20Solitons%20%26%20Fractals%3A%20X
Chemical Engineering Science: X,25901400,Chemical%20Engineering%20Science%3A%20X
Chemical Physics Letters: X,25901419,Chemical%20Physics%20Letters%3A%20X
China Journal of Accounting Research,17553091,China%20Journal%20of%20Accounting%20Research
Chinese Journal of Aeronautics,10009361,Chinese%20Journal%20of%20Aeronautics
Chinese Journal of Traumatology,10081275,Chinese%20Journal%20of%20Traumatology
Cirugía Cardiovascular,11340096,Cirug%C3%ADa%20Cardiovascular
City and Environment Interactions,25902520,City%20and%20Environment%20Interactions
CJC Open,2589790X,CJC%20Open
Climate Risk Management,22120963,Climate%20Risk%20Management
Climate Services,24058807,Climate%20Services
Clinical and Translational Radiation Oncology,24056308,Clinical%20and%20Translational%20Radiation%20Oncology
Clinical Infection in Practice,25901702,Clinical%20Infection%20in%20Practice
Clinical Neurophysiology Practice,2467981X,Clinical%20Neurophysiology%20Practice
Clinical Nutrition Experimental,23529393,Clinical%20Nutrition%20Experimental
Clinical Parkinsonism & Related Disorders,25901125,Clinical%20Parkinsonism%20%26%20Related%20Disorders
Clinical Spectroscopy,26660547,Clinical%20Spectroscopy
Clinics and Research in Hepatology and Gastroenterology: X,25901443,Clinics%20and%20Research%20in%20Hepatology%20and%20Gastroenterology%3A%20X
