Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
AAPG Bulletin,01491423,2.36,NA,NA,NA,NA,NA,NA
Academic Medicine,10402446,NA,NA,NA,2.287,2.418,2.348,NA
Academy of Management Annals,19416520,3.946,5.011,7.433,8.911,8.045,7.165,5.885
Academy of Management Journal,00014273,4.409,4.039,4.248,4.328,4.287,3.728,3.624
Academy of Management Learning and Education,1537260X,2.427,NA,NA,2.432,2.348,NA,2.453
Academy of Management Perspectives,15589080,3.368,2.545,2.429,2.28,3.411,2.32,2.819
Academy of Management Review,03637425,4.708,5.564,5.482,5.211,4.303,5.039,3.99
Accident Analysis and Prevention,00014575,2.247,2.657,NA,NA,NA,NA,NA
Accounting Review,00014826,2.5,2.725,2.636,3.428,2.435,2.632,2.968
"Accounting, Organizations and Society",03613682,3.064,2.819,2.286,2.749,NA,NA,NA
Accounts of Chemical Research,00014842,5.413,4.856,4.891,4.504,4.244,4.012,3.752
ACI Structural Journal,08893241,NA,NA,2.192,NA,NA,NA,NA
ACM Computing Surveys,03600300,14.686,8.98,7.997,7.711,6.435,5.766,5.253
ACM SIGPLAN Notices,15232867,NA,NA,NA,NA,NA,NA,2.174
ACM Transactions on Accessible Computing,19367228,NA,3.104,NA,NA,NA,NA,NA
ACM Transactions on Asian Language Information Processing,15300226,NA,2.324,NA,NA,NA,NA,NA
ACM Transactions on Autonomous and Adaptive Systems,15564665,2.461,NA,NA,NA,NA,NA,NA
ACM Transactions on Computer Systems,07342071,NA,NA,2.406,3.381,3.732,4.503,2.746
ACM Transactions on Computer-Human Interaction,10730516,2.742,2.591,2.837,2.742,2.118,NA,NA
ACM Transactions on Computing Education,,3.54,NA,NA,2.105,NA,3.332,2.193
ACM Transactions on Database Systems,03625915,3.196,2.683,NA,NA,NA,NA,NA
ACM Transactions on Economics and Computation,21678375,NA,NA,2.808,NA,NA,NA,NA
ACM Transactions on Graphics,07300301,2.802,2.631,2.938,3.566,2.799,2.954,3.015
ACM Transactions on Information and System Security,10949224,3.011,3.068,3.363,NA,2.304,4.935,5.006
ACM Transactions on Information Systems,10468188,2.585,2.801,NA,NA,NA,NA,NA
ACM Transactions on Intelligent Systems and Technology,21576904,16.459,11.767,10.315,2.722,2.531,2.549,2.177
ACM Transactions on Interactive Intelligent Systems,21606455,NA,2.754,NA,2.316,NA,2.58,3.152
ACM Transactions on Knowledge Discovery from Data,15564681,3.943,2.96,2.327,NA,NA,NA,NA
ACM Transactions on Mathematical Software,00983500,3.435,3.508,4.101,NA,3.476,2.947,2.736
ACM Transactions on Programming Languages and Systems,01640925,NA,NA,2.423,NA,NA,NA,NA
ACM Transactions on Sensor Networks,15504859,3.333,2.98,NA,NA,NA,NA,NA
ACM Transactions on Software Engineering and Methodology,1049331X,3.101,3.203,2.858,2.621,2.135,2.311,NA
ACM Transactions on Storage,15533077,2.459,2.425,NA,2.425,2.852,NA,NA
ACM Transactions on the Web,15591131,3.858,3.788,2.829,2.656,NA,NA,NA
ACS Catalysis,,NA,NA,NA,2.101,NA,NA,2.116
ACS Nano,19360851,2.655,2.717,2.713,2.688,2.595,2.568,2.447
Acta Biomaterialia,17427061,NA,2.225,2.277,NA,NA,NA,NA
Acta Crystallographica Section A: Foundations and Advances,,NA,NA,NA,NA,2.521,6.889,12.612
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",20525192,NA,NA,2.459,NA,NA,NA,2.811
Acta Crystallographica Section D: Structural Biology,,10.418,4.965,2.486,NA,NA,NA,NA
Acta Historiae Artis Slovenica,14080419,NA,NA,NA,NA,NA,NA,2.333
Acta Historiae Artium,00015830,NA,NA,NA,NA,NA,2.611,NA
Acta IMEKO,0237028X,NA,3.84,3.376,NA,NA,NA,NA
Acta Materialia,13596454,2.856,2.654,3.117,2.795,2.685,2.744,2.842
Acta Mathematica,00015962,4.912,4.077,3.692,4.099,4.248,3.825,3.085
Acta Medica Martiniana,13358421,NA,NA,NA,3.081,3.235,NA,NA
Acta Neuropathologica,00016322,2.25,2.46,2.23,2.476,2.304,3.446,4.081
Acta Numerica,09624929,6.418,6.631,7.731,7.457,6.701,6.245,9.677
Acta Scientiarum - Agronomy,16799275,NA,NA,NA,NA,2.154,NA,NA
Active Learning in Higher Education,14697874,NA,NA,NA,2.353,2.704,2.513,2.179
Ad Hoc Networks,15708705,3.499,2.206,NA,NA,NA,NA,NA
Additive Manufacturing,,NA,NA,NA,3.507,3.572,2.937,3.085
Administrative Science Quarterly,00018392,3.598,3.237,2.623,2.809,3.307,3.363,3.403
"Adolescent Health, Medicine and Therapeutics",,NA,NA,NA,2.217,NA,2.156,2.579
Advanced Drug Delivery Reviews,0169409X,3.441,3.493,4.344,4.236,3.69,3.208,3.293
Advanced Energy Materials,16146832,2.159,2.925,2.938,2.632,2.255,2.497,2.77
Advanced Engineering Informatics,14740346,2.176,2.585,2.558,2.156,NA,NA,2.387
Advanced Functional Materials,1616301X,2.614,2.377,2.574,2.439,2.25,2.225,2.347
Advanced Materials,09359648,3.879,3.685,3.821,3.649,3.45,3.627,3.67
Advances in Adaptive Data Analysis,17935369,9.158,2.368,2.984,NA,NA,NA,NA
Advances in Anatomic Pathology,10724109,2.249,NA,NA,NA,NA,NA,NA
Advances in Anatomy Embryology and Cell Biology,03015556,NA,2.674,3.37,NA,NA,NA,NA
Advances in Clinical Chemistry,00652423,NA,NA,NA,2.204,NA,NA,NA
Advances in Colloid and Interface Science,00018686,4.019,3.594,4.309,2.912,2.777,2.927,2.603
Advances in Digestive Medicine,23519797,NA,NA,NA,NA,NA,NA,4.858
Advances in Engineering Education,19411766,NA,NA,NA,NA,NA,2.785,NA
Advances in Engineering Software,09659978,NA,NA,NA,NA,NA,2.367,2.308
Advances in Food and Nutrition Research,10434526,NA,NA,NA,NA,4.781,2.38,NA
Advances in Health Sciences Education,13824996,2.193,2.291,NA,NA,NA,NA,NA
Advances in Human-Computer Interaction,16875893,NA,NA,NA,NA,2.212,NA,NA
Advances in Marine Biology,00652881,NA,2.581,NA,3.533,NA,NA,NA
Advances in Multimedia,16875680,2.23,NA,NA,NA,NA,NA,NA
Advances in Nonlinear Analysis,21919496,NA,NA,NA,NA,NA,NA,3.225
Advances in Nutrition,21618313,NA,NA,NA,NA,NA,NA,2.136
Advances in Oceanography and Limnology,19475721,NA,NA,NA,NA,NA,4.034,NA
Advances in Optical Technologies,16876393,2.278,NA,NA,NA,NA,NA,NA
Advances in Optics and Photonics,19438206,12.021,9.488,9.958,7.75,8.571,9.245,8.93
Advances in Parasitology,0065308X,NA,NA,NA,2.961,NA,2.303,2.134
Advances in Physics,00018732,12.367,9.552,9.72,6.859,7.027,7.369,9.957
Advances in Virus Research,00653527,NA,NA,2.866,2.854,NA,NA,NA
African Affairs,00019909,2.894,2.675,2.408,2.92,3.035,2.38,2.861
African Journal of Disability,22239170,NA,NA,NA,NA,2.281,2.756,NA
African Natural History,18168396,NA,NA,NA,NA,NA,NA,3.351
Africana Linguistica,00654124,NA,NA,3.052,NA,NA,NA,NA
Age and Ageing,00020729,2.161,2.315,NA,NA,NA,NA,NA
Ageing Research Reviews,15681637,2.234,NA,2.198,NA,2.228,2.179,2.337
Agronomy for Sustainable Development,17740746,2.458,NA,NA,NA,2.332,2.572,2.317
AI Communications,09217126,2.157,NA,NA,NA,NA,NA,NA
AI Magazine,07384602,2.22,2.321,NA,NA,NA,NA,2.233
Aldrichimica Acta,00025100,NA,NA,3.688,2.774,NA,NA,NA
Alimentary Pharmacology and Therapeutics,02692813,NA,NA,2.189,NA,2.158,2.175,2.211
Alkaloids: Chemistry and Biology,10994831,2.19,NA,NA,NA,NA,NA,NA
Allergy: European Journal of Allergy and Clinical Immunology,01054538,NA,NA,NA,2.159,2.521,2.361,NA
Alternative Medicine Review,10895159,NA,2.655,3.17,2.296,NA,NA,NA
Alzheimer's and Dementia,15525260,3.567,4.565,4.554,2.826,2.626,2.744,3.339
