author,institute,journal,ISSN
"Professor S.G. Lisberger, PhD","Duke University School of Medicine, Durham, North Carolina, United States",IBRO Reports,2451-8301
Professor Tim Bollerslev,"Duke University, Durham, North Carolina, United States",Econometrics and Statistics,2452-3062
Dr. Mike West,"Duke University, Durham, North Carolina, United States",Econometrics and Statistics,2452-3062
"David Millington, PhD","Duke University Department of Pediatrics, Durham, North Carolina, United States",Clinical Mass Spectrometry,2376-9998
"Janice Massey, MD","Duke University Hospital, Durham, United States",Clinical Neurophysiology Practice,2467-981X
"Tian Zhang, MD, MHS","Duke Cancer Institute, Durham, North Carolina, United States",Cancer Treatment and Research Communications,2468-2942
"Cynthia K. Shortell, MD","Duke University School of Medicine Division of Vascular and Endovascular Surgery, Durham, NC, United States",Journal of Vascular Surgery Cases and Innovative Techniques,2468-4287
"Ellen Dillavou, MD, FACS","Duke University Medical Center, Vascular Surgery, Durham, North Carolina, United States",Journal of Vascular Surgery Cases and Innovative Techniques,2468-4287
"Steven D. Crowley, MD","Duke University, Durham, North Carolina, United States",Kidney International Reports,2468-0249
A. Krishna,"Duke University, Durham, North Carolina, United States",World Development Perspectives,2452-2929
Tuan Vo-Dinh,"Duke University Department of Chemistry, Durham, North Carolina, United States",Journal of Science: Advanced Materials and Devices,2468-2179
Dr. Mark Wiesner,"Duke University Department of Civil and Environmental Engineering, Durham, North Carolina, United States",NanoImpact,2452-0748
"Ahmad R. Hariri, PhD","Duke University, Durham, North Carolina, United States",Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022
"Andrew D. Krystal, MD, MS","Duke University School of Medicine, Durham, North Carolina, United States",Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022
"W. Robert Lee, MD, MS","Duke University, Durham, North Carolina, United States",Advances in Radiation Oncology,2452-1094
"Fumiko Chino, MD","Duke University, Durham, North Carolina, United States",Advances in Radiation Oncology,2452-1094
"L. Kristin Newby, MD","Durham, NC &verbar; Duke University Medical Center",JACC: Basic to Translational Science,2452-302X
"Sherman A. James, PhD","Duke University, Durham, North Carolina, United States",SSM - Population Health,2352-8273
Corrine Voils,"Duke University, Durham, North Carolina, United States",Contemporary Clinical Trials Communications,2451-8654
"Brant Inman, MD, MS","Duke University Medical Center, Durham, United States",European Urology Focus,2405-4569
Professor Tomasz Hueckel,"Duke University, Durham, North Carolina, United States",Geomechanics for Energy and the Environment,2352-3808
Dr. Manolis Veveakis,"Duke University, Durham, North Carolina, United States",Geomechanics for Energy and the Environment,2352-3808
"James P. Daubert, MD","Duke University Health System, Department of Medicine, Durham, NC",JACC: Clinical Electrophysiology,2405-500X
"Jonathan P. Piccini, MD, MHS","Duke Clinical Research Institute, Durham, NC",JACC: Clinical Electrophysiology,2405-500X
"Michael P. Bolognesi, MD","Duke University, Durham, North Carolina, United States",Arthroplasty Today,2352-3441
Dr. Roberto Cabeza,"Duke University, Durham, North Carolina, United States",Current Opinion in Behavioral Sciences,2352-1546
Jiaoti Huang,"Duke University Department of Pathology, Durham, North Carolina, United States",Asian Journal of Urology,2214-3882
Xiao-Fan Wang,"Duke University, Durham, United States",Genes & Diseases,2352-3042
B.R. Silliman,"Duke University, Durham, North Carolina, United States",Food Webs,2352-2496
Binbin Li,"Duke Kunshan University, Kunshan, Jiangsu, China",Global Ecology and Conservation,2351-9894
Dwight Koeberl,"Duke University, Durham, North Carolina, United States",Molecular Genetics and Metabolism Reports,2214-4269
"Nelson Chao, MD, MBA","Department of Medicine, School of Medicine, Duke University, Durham, United States","Hematology, Transfusion and Cell Therapy",2531-1379
"Aatif Husain, MD","Duke University Medical Center, Department of Neurology, Durham, North Carolina, United States",Epilepsy & Behavior Reports,2589-9864
Terrie Moffitt,"Duke University, United States",International Journal of Clinical and Health Psychology,1697-2600
"Jongbae Park, PhD, LAc","Professor, Duke University School of Medicine, USA",Integrative Medicine Research,2213-4220
Alan Gelfand,"Duke University, Durham, North Carolina, United States",Spatial Statistics,2211-6753
