Journal,Num reviews
2D Materials,4
A&A Practice,4
ACM Symposium on Spatial User Interaction,1
ACS Applied Materials & Interfaces,5
ACS Applied Nano Materials,1
ACS Biomaterials Science & Engineering,2
ACS Infectious Diseases,1
ACS Nano,3
ACS Sustainable Chemistry & Engineering,2
AIDS Care,1
AIMS Environmental Science,1
AIP Advances,1
AJP: Cell Physiology,1
AJP: Heart and Circulatory Physiology,1
ASLIB Journal of Information Management,1
Academic Emergency Medicine,38
Academic Radiology,3
Academy of Management Annual Meeting,6
Accounts of Chemical Research,2
Acta Biomaterialia,1
Acta Obstetricia et Gynecologica Scandinavica,1
Acta Oncologica,1
Acta Paediatrica,2
Acta Psychiatrica Scandinavica,3
Addiction,1
Addiction Biology,1
Advanced Materials,5
Advanced Materials Interfaces,2
Advanced Theory and Simulations,1
Advances in Chronic Kidney Disease,1
Advances in Infectious Diseases,1
Advances in Methods and Practices in Psychological Science,1
Advances in Water Resources,3
Aerosol and Air Quality Research,2
African Journal of Ecology,2
Aging,2
Aging Cell,1
"Aging, Neuropsychology, and Cognition",3
Agricultural and Forest Meteorology,8
"Air Quality, Atmosphere and Health",2
Alimentary Pharmacology & Therapeutics,2
American Educational Research Journal,1
American Fern Journal,2
American Heart Journal,18
American Journal of Case Reports,3
American Journal of Emergency Medicine,6
American Journal of Epidemiology,2
American Journal of Human Biology,1
American Journal of Kidney Diseases,5
American Journal of Medical Genetics Part A,4
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,2
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,1
American Journal of Neuroradiology,7
American Journal of Physical Anthropology,2
American Journal of Physiology-Endocrinology and Metabolism,13
American Journal of Political Science,1
American Journal of Primatology,11
American Journal of Psychiatry,2
American Journal of Public Health,9
American Journal of Transplantation,127
American Political Science Review,13
American Sociological Review,1
Amino Acids,1
Analytica Chimica Acta,8
Analytical Letters,5
Analytical and Bioanalytical Chemistry,17
Anatomical Sciences Education,2
Andrologia,2
Anesthesia & Analgesia,42
Anesthesiology,7
Angewandte Chemie,1
Angewandte Chemie International Edition,1
Animal Behaviour,4
Animal Cognition,5
Annals of Applied Statistics,17
Annals of Behavioral Medicine,1
Annals of Biomedical Engineering,2
Annals of Botany,1
Annals of Human Genetics,3
Annals of Internal Medicine,5
Annals of Medicine,1
Annals of Neuroscience and Psychology,1
Annals of Noninvasive Electrocardiology,21
Annals of Oncology,1
"Annals of Otology, Rhinology & Laryngology",35
Annals of Pharmacotherapy,1
Annals of Statistics,1
Annals of Surgery,13
Annals of the New York Academy of Sciences,2
Annual Conference of the American Society of Health Economists,2
Annual Conference on Magnetism and Magnetic Materials,1
Annual Meeting of the Organization for Human Brain Mapping,1
Anthropocene,1
Anti-Cancer Drugs,11
Antibodies,1
Antimicrobial Agents and Chemotherapy,16
Antiviral Research,2
Anuario Calderoniano,2
Apoptosis,1
Applied Cognitive Psychology,1
Applied Energy,1
Applied Optics,1
Applied Physics Express,1
Applied Physics Letters,19
"Applied Physiology, Nutrition, and Metabolism",1
Applied Research in Quality of Life,2
Applied Sciences,7
Applied and Environmental Microbiology,5
Aquatic Conservation: Marine and Freshwater Ecosystems,2
Aquatic Toxicology,7
Archives of Clinical Microbiology,2
Area Development and Policy,1
Arthritis & Rheumatology,6
Arthritis Care & Research,10
Asia & the Pacific Policy Studies,2
Atalanta-Revista de Las Letras Barrocas,10
Atmosphere,9
Atmospheric Chemistry and Physics,10
Atmospheric Chemistry and Physics Discussions,1
Atmospheric Environment,6
Atmospheric Measurement Techniques Discussions,1
Atmospheric Pollution Research,1
Austral Ecology,3
Avian Conservation and Ecology,1
BJU International,6
BMC Cardiovascular Disorders,2
BMC Chemistry,8
BMC Ecology,1
BMC Emergency Medicine,1
BMC Evolutionary Biology,1
BMC Genomics,6
BMC Geriatrics,2
BMC Health Services Research,4
BMC Immunology,2
BMC Infectious Diseases,2
BMC Musculoskeletal Disorders,1
BMC Nephrology,3
BMC Neuroscience,2
BMC Palliative Care,1
BMC Pediatrics,3
BMC Pregnancy and Childbirth,1
BMC Pulmonary Medicine,1
BMJ Open,37
BMJ Supportive & Palliative Care,1
Behavior Research Methods,1
Behavioral Ecology,3
Behavioral Ecology and Sociobiology,1
Behaviour,2
Behavioural Processes,2
Bio-Protocol,3
BioDrugs,1
BioFactors,4
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,3
Bioconjugate Chemistry,1
Biodiversity and Conservation,4
Bioengineering,4
Bioengineering & Translational Medicine,1
Biofabrication,1
Biogeochemistry,2
Bioinformatics,9
Biointerphases,1
Biological Conservation,4
Biological Psychiatry,9
Biology Letters,5
Biomarkers and Applications,3
Biomaterials,1
Biomechanics and Modeling in Mechanobiology,1
Biomedical Physics & Engineering Express,3
Biomedical Reports,2
Biomedical and Pharmacology Journal,2
Biomedicine & Pharmacotherapy,1
Biometrical Journal,4
Biometrics,1
Biomolecules,1
Biosensors,2
Biotropica,1
Bone Marrow Transplantation,2
Boundary-Layer Meteorology,1
Brain,1
Brain Connectivity,2
Brain Imaging and Behavior,8
Brain Informatics,1
Brain Research,3
Brain Stimulation,57
Brain Structure and Function,2
Brain and Behavior,2
British Journal of Anaesthesia,1
British Journal of Clinical Pharmacology,1
British Journal of Dermatology,1
British Journal of Haematology,5
British Journal of Nutrition,38
British Journal of Pharmacology,2
British Journal of Surgery,2
Bryologist,1
Bulletin of the American Meteorological Society,1
Bulletin of the Comediantes,1
Canadian Journal of Physiology and Pharmacology,1
Canadian Journal of Psychiatry,1
Canadian Journal of Zoology,2
Canadian Journal on Aging/La Revue Canadienne du Vieillissement,1
Cancer,68
Cancer Cell,1
Cancer Genetics,1
Cancer Immunology Research,1
Cancer Letters,5
Cancer Management and Research,3
Cancer Medicine,8
Cancer Prevention Research,2
Cancer Research,5
Cancer Science,1
CardioVascular and Interventional Radiology,1
Cardiology in the Young,3
Cardiovascular Engineering and Technology,8
Catalysts,12
Catheterization and Cardiovascular Interventions,1
Cell,1
Cell Host & Microbe,3
Cell Metabolism,2
Cell Proliferation,1
Cell Reports,8
Cellular & Molecular Biology Letters,1
Cellular Immunology,1
Cellular Microbiology,2
Cellular Physiology and Biochemistry,6
Cellular and Molecular Gastroenterology and Hepatology,1
Cellular and Molecular Life Sciences,1
Cellulose,1
Cerebral Cortex,19
Challenges in Sustainability,1
Chemical Biology & Drug Design,2
Chemical Communications,64
Chemical Reviews,2
Chemical Science,5
Chemical Speciation & Bioavailability,1
Chemico-Biological Interactions,5
Chemosensors,2
Chemosphere,1
Chest,3
Child Abuse & Neglect,74
Child Development,5
Child Maltreatment,2
Chinese Journal of Cancer Research,5
Chinese Journal of Lung Cancer,4
Circulation,5
Circulation: Cardiovascular Interventions,2
Circulation: Cardiovascular Quality and Outcomes,4
Clinical Cancer Research,10
Clinical Cardiology,4
Clinical Epidemiology,1
Clinical Genetics,3
Clinical Infectious Diseases,2
Clinical Interventions in Aging,1
Clinical Journal of the American Society of Nephrology,3
Clinical Kidney Journal,2
Clinical Lung Cancer,1
Clinical Medicine Insights: Oncology,2
Clinical Nursing Research,8
Clinical Otolaryngology,3
Clinical Pediatrics,2
Clinical Pharmacology & Therapeutics,1
Clinical Therapeutics,2
Clinical Toxicology,1
Clinical Transplantation,36
Clinical Trials,1
Clinical and Experimental Pharmacology and Physiology,1
Clinical and Vaccine Immunology,1
Cognition & Emotion,1
"Cognitive, Affective, & Behavioral Neuroscience",19
Colloids and Surfaces B: Biointerfaces,11
Communications Biology,1
Comparative Political Studies,3
Computational Biology and Chemistry,1
Computational Psychiatry,1
Computational and Mathematical Methods in Medicine,1
Computer Methods and Programs in Biomedicine,2
Computers in Biology and Medicine,8
Concepts in Magnetic Resonance Part A,2
Conference on Human Factors in Computing Systems - Proceedings,1
Congenital Heart Disease,4
Consciousness and Cognition,2
Conservation Letters,6
Copeia,1
Cortex,1
Critical Care Medicine,4
Critical Pathways in Cardiology,2
Critical Research on Religion,1
Cuadernos de Aleph,1
Current Directions in Psychological Science,2
Current Genetics,1
Current Opinion in Environmental Sustainability,1
Current Opinion in Virology,1
Current Proteomics,1
Demography,1
Dermatitis,4
Designed Monomers and Polymers,3
Development and Psychopathology,1
"Development, Growth & Differentiation",2
Developmental Cognitive Neuroscience,4
Developmental Neuroscience,1
Developmental Psychobiology,3
Developmental Psychology,2
Developmental Science,5
Diabetes,9
Diabetes Care,6
"Diabetes, Obesity and Metabolism",8
Dicenda,1
Digestive Diseases and Sciences,2
Digital Journalism,1
Disease Models & Mechanisms,1
Diseases of the Esophagus,1
Diversity and Distributions,4
"Drug Design, Development and Therapy",4
Drug and Alcohol Dependence,1
E-Polymers,5
EBioMedicine,1
EPJ Data Science,1
Ear and Hearing,1
Early Childhood Research Quarterly,1
Earth Interactions,1
Echocardiography,20
EcoHealth,3
Ecography,2
Ecological Applications,3
Ecological Economics,1
Ecological Indicators,2
Ecological Monographs,1
Ecology,11
Ecology Letters,20
Ecology and Evolution,2
Ecology of Food and Nutrition,1
Economic Geography,1
Economics & Politics,2
Ecosphere,2
Ecotoxicology and Environmental Safety,2
Electronics Letters,2
Emerg Infect Dis,1
Emerging Infectious Diseases,3
Emerging Markets Finance and Trade,2
Emerging Microbes & Infections,1
Emotion,3
Energies,7
Energy Economics,2
Energy Policy,2
Energy Technology,1
Engineering Computations,1
Entropy,2
Environment International,1
Environmental Conservation,2
Environmental Engineering Science,1
Environmental Management,2
Environmental Microbiology,1
Environmental Pollution,2
Environmental Research,1
Environmental Research Letters,19
Environmental Reviews,1
Environmental Science & Technology,6
Environmental Science and Pollution Research,12
Environmental Science: Nano,1
Environmental Toxicology and Pharmacology,3
Environmental and Experimental Botany,1
Epidemiology,3
European Biophysics Journal,1
European Journal of Cardio-thoracic Surgery,2
European Journal of Haematology,1
European Journal of Immunology,7
European Journal of Neurology,2
European Journal of Neuroscience,2
European Journal of Social Work,2
European Planning Studies,1
European Radiology,13
Evidence-based Complementary and Alternative Medicine,8
Evolution,3
Evolutionary Anthropology,1
Evolutionary Applications,5
Evolutionary Bioinformatics,3
Evolutionary Biology,2
Experimental Brain Research,1
Experimental and Molecular Pathology,1
Experimental and Therapeutic Medicine,5
Experiments in Fluids,1
Expert Review of Anti-Infective Therapy,1
Express Polymer Letters,1
F1000Research,9
FASEB Journal,1
FEMS Microbiology Letters,2
Field Methods,1
First Monday,1
Fishes,1
