Title,ISSN,BUS,HUM,LAW,MED,NSEG,SSDG
Tetrahedron: Asymmetry,09574166,NA,NA,NA,1,1,NA
Journal of the Association of Nurses in AIDS Care,10553290,NA,NA,NA,1,NA,NA
Journal of Translational Autoimmunity,25899090,NA,NA,NA,1,NA,NA
Neurobiology of Aging Science,25899589,NA,NA,NA,1,NA,NA
The Journal of Pediatrics: X,25900420,NA,NA,NA,1,NA,NA
Molecular Data Science,25900633,NA,NA,NA,NA,1,NA
Medicine in Novel Technology and Devices,25900935,NA,NA,NA,1,NA,NA
Medicine in Microecology,25900978,NA,NA,NA,1,NA,NA
Medicine in Drug Discovery,25900986,NA,NA,NA,1,NA,NA
Medicine in Omics,25901249,NA,NA,NA,1,NA,NA
Transportation Research Interdisciplinary Perspectives,25901982,NA,NA,NA,NA,NA,1
Methods in Psychology,25902601,NA,NA,NA,NA,1,NA
Social Sciences & Humanities Open,25902911,NA,NA,NA,NA,NA,1
Open Respiratory Archives,26596636,NA,NA,NA,1,NA,NA
Nutrition: X,26659026,NA,NA,NA,1,NA,NA
Osteoarthritis and Cartilage Open,26659131,NA,NA,NA,1,NA,NA
Measurement: Sensors,26659174,NA,NA,NA,NA,1,NA
Software Impacts,26659638,NA,NA,NA,NA,1,NA
Science of Remote Sensing,26660172,NA,NA,NA,NA,1,NA
Physics Open,26660326,NA,NA,NA,NA,1,NA
Quaternary Science Advances,26660334,NA,NA,NA,NA,1,NA
Sensors�and�Actuators�Reports,26660539,NA,NA,NA,NA,1,NA
The Journal of Urology,00225347,NA,NA,NA,1,NA,NA
Methods in Enzymology,00766879,NA,NA,NA,NA,1,NA
Journal of Visual Languages & Computing,1045926X,NA,NA,NA,NA,1,NA
Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,10956433,NA,NA,NA,1,NA,NA
"Computer Languages, Systems & Structures",14778424,NA,NA,NA,NA,1,NA
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1744117X,NA,NA,NA,1,NA,NA
International Journal of Pediatric Otorhinolaryngology Extra,18714048,NA,NA,NA,1,NA,NA
Journal of Dentistry: X,25897004,NA,NA,NA,1,NA,NA
EnergyChem,25897780,NA,NA,NA,NA,1,NA
Epilepsy & Behavior Reports,25899864,NA,NA,NA,1,NA,NA
Array,25900056,NA,NA,NA,NA,1,NA
Immuno-Oncology Technology,25900188,NA,NA,NA,1,NA,NA
Results in Materials,2590048X,NA,NA,NA,NA,1,NA
Research in Globalization,2590051X,NA,NA,NA,NA,NA,1
Clinical Parkinsonism and Related Disorders,25901125,NA,NA,NA,1,NA,NA
eTransportation,25901168,1,NA,NA,NA,NA,NA
Clinics and Research in Hepatology and Gastroenterology: X,25901443,NA,NA,NA,1,NA,NA
Diabetes & Metabolism: X,25901540,NA,NA,NA,1,NA,NA
Clinical Infection in Practice,25901702,NA,NA,NA,1,NA,NA
Applied Computing and Geosciences,25901974,NA,NA,NA,NA,1,NA
Biofilm,25902075,NA,NA,NA,NA,1,NA
Health Policy OPEN,25902296,NA,NA,NA,1,NA,NA
City and Environment Interactions,25902520,NA,NA,NA,NA,1,NA
Current Research in Immunology,25902555,NA,NA,NA,1,NA,NA
Current Research in Pharmacology and Drug Discovery,25902571,NA,NA,NA,1,NA,NA
Current Research in Biotechnology,25902628,NA,NA,NA,NA,1,NA
Current Research in Cell Biology,25902636,NA,NA,NA,NA,1,NA
"Resources, Conservation & Recycling: X",2590289X,NA,NA,NA,NA,1,NA
Forensic Science International: Reports,26659107,NA,NA,NA,1,NA,NA
Current Research in Food Science,26659271,NA,NA,NA,NA,1,NA
Current Research in Structural Biology,2665928X,NA,NA,NA,NA,1,NA
Current Research in Physiology,26659441,NA,NA,NA,1,NA,NA
Environmental and Sustainability Indicators,26659727,NA,NA,NA,NA,1,NA
Case Studies in Chemical and Environmental Engineering,26660164,NA,NA,NA,NA,1,NA
Current Research in Toxicology,2666027X,NA,NA,NA,1,NA,NA
"Arthroscopy, Sports Medicine, and Rehabilitation",2666061X,NA,NA,NA,1,NA,NA
JACC Case Reports,26660849,NA,NA,NA,1,NA,NA
Results in Geochemistry,26662779,NA,NA,NA,NA,1,NA
