,Title,ISSN,Price,Type,PDF.downloads,downloads.2012,downloads.2013,downloads.2014,downloads.2015,downloads.2016,downloads.2017,downloads.2018,downloads.max,median.snip,editors,subj.BUS,subj.HUM,subj.LAW,subj.MED,subj.NSEG,subj.SSDG,Published.2012,Published.2013,Published.2014,Published.2015,Published.2016,Published.2017,Published.2018,Published.mean,reviewers
307,Academic Pediatrics,1876-2859,450,Freedom,1318,202,294,287,427,404,689,1015,1015,1.202,FALSE,NA,NA,NA,1,NA,NA,1,1,3,3,2,6,2,2.571428571,FALSE
309,Academic Radiology,1076-6332,698.87,Subscribed,2963,1193,1067,987,1057,1155,2025,1131,2025,0.986,FALSE,NA,NA,NA,1,NA,NA,6,5,6,5,7,7,8,6.285714286,TRUE
318,Accident Analysis and Prevention,0001-4575,3913,Freedom,2255,582,643,626,1248,660,865,908,1248,NA,FALSE,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0.571428571,FALSE
324,"Accounting, Organizations and Society",0361-3682,3916,Subscribed,770,325,147,153,192,285,161,201,325,2.799,FALSE,1,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0.142857143,FALSE
385,Acta Astronautica,0094-5765,7465.32,Subscribed,787,175,226,205,198,211,264,277,277,1.714,FALSE,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,FALSE
386,Acta Biomaterialia,1742-7061,2048,Freedom,4129,1325,1900,1820,1459,1981,1654,2753,2753,2.125,TRUE,NA,NA,NA,NA,1,NA,1,4,6,3,5,2,3,3.428571429,TRUE
396,Acta Ecologica Sinica,1872-2032,743,Freedom,77,23,17,24,28,23,14,23,28,0.535,FALSE,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,FALSE
402,Acta Histochemica,0065-1281,1653,Freedom,414,162,169,268,111,132,119,163,268,0.766,FALSE,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,FALSE
405,Acta Materialia,1359-6454,6242.3,Subscribed,1606,731,561,363,347,1056,440,988,1056,2.917,FALSE,NA,NA,NA,NA,1,NA,1,0,0,1,2,1,1,0.857142857,FALSE
414,Acta Oecologica,1146-609X,1105,Subscribed,452,233,228,208,111,156,89,200,233,0.921,FALSE,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,FALSE
418,Acta Orthopaedica et Traumatologica Turcica,1017-995X,0,Open,27,0,0,0,0,0,59,58,59,0.753,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,FALSE
420,Acta Otorrinolaringologica,2173-5735,1049,Freedom,54,10,11,20,7,14,4,23,23,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,FALSE
