Title,ISSN,Price,Type,PDF.downloads,downloads.2012,downloads.2013,downloads.2014,downloads.2015,downloads.2016,downloads.2017,downloads.2018,downloads.max,median.snip,editors,subj.BUS,subj.HUM,subj.LAW,subj.MED,subj.NSEG,subj.SSDG,Published.2012,Published.2013,Published.2014,Published.2015,Published.2016,Published.2017,Published.2018,Published.mean,reviewers
Academic Pediatrics,18762859,450,Freedom,1318,202,294,287,427,404,689,1015,1015,1.202,FALSE,NA,NA,NA,1,NA,NA,1,1,3,3,2,6,2,2.5714285714285716,FALSE
Academic Radiology,10766332,698.87,Subscribed,2963,1193,1067,987,1057,1155,2025,1131,2025,0.986,FALSE,NA,NA,NA,1,NA,NA,6,5,6,5,7,7,8,6.285714285714286,TRUE
Accident Analysis & Prevention,00014575,3913,Freedom,2255,582,643,626,1248,660,865,908,1248,2.067,FALSE,NA,NA,NA,1,NA,1,1,1,1,0,1,0,0,0.5714285714285714,FALSE
"Accounting, Organizations and Society",03613682,3916,Subscribed,770,325,147,153,192,285,161,201,325,2.799,FALSE,1,NA,NA,NA,1,1,0,1,0,0,0,0,0,0.14285714285714285,FALSE
Acta Astronautica,00945765,7465.32,Subscribed,787,175,226,205,198,211,264,277,277,1.714,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Acta Biomaterialia,17427061,2048,Freedom,4129,1325,1900,1820,1459,1981,1654,2753,2753,2.125,FALSE,NA,NA,NA,NA,1,NA,1,4,6,3,5,2,3,3.4285714285714284,TRUE
Acta Ecologica Sinica,18722032,743,Freedom,77,23,17,24,28,23,14,23,28,NA,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Acta Histochemica,00651281,1653,Freedom,414,162,169,268,111,132,119,163,268,0.766,FALSE,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Acta Materialia,13596454,6242.3,Subscribed,1606,731,561,363,347,1056,440,988,1056,2.917,FALSE,NA,NA,NA,NA,1,NA,1,0,0,1,2,1,1,0.8571428571428571,FALSE
Acta Oecologica,1146609X,1105,Subscribed,452,233,228,208,111,156,89,200,233,0.921,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
